Fecha inicial;PM10
12/02/2024 12:59;7.92
12/02/2024 11:59;8.85
12/02/2024 10:59;9.95
12/02/2024 9:59;12.11
12/02/2024 8:59;27.83
12/02/2024 7:59;58.95
12/02/2024 6:59;60.99
12/02/2024 5:59;40.05
12/02/2024 4:59;20.36
12/02/2024 3:59;17.52
12/02/2024 2:59;19.42
12/02/2024 1:59;14.84
12/02/2024 0:59;14.57
11/02/2024 23:59;13.78
11/02/2024 22:59;12.77
11/02/2024 21:59;12.82
11/02/2024 20:59;14.68
11/02/2024 19:59;10.88
11/02/2024 18:59;12.1
11/02/2024 17:59;13.04
11/02/2024 16:59;9.38
11/02/2024 15:59;4.82
11/02/2024 14:59;6.55
11/02/2024 13:59;4.99
11/02/2024 12:59;5.17
11/02/2024 11:59;4.93
11/02/2024 10:59;5.76
11/02/2024 9:59;6.86
11/02/2024 8:59;13.14
11/02/2024 7:59;31.43
11/02/2024 6:59;27.03
11/02/2024 5:59;19.95
11/02/2024 4:59;18.77
11/02/2024 3:59;16.71
11/02/2024 2:59;6.89
11/02/2024 1:59;10.89
11/02/2024 0:59;15.4
10/02/2024 23:59;6.99
10/02/2024 22:59;4.62
10/02/2024 21:59;8.84
10/02/2024 20:59;12.99
10/02/2024 19:59;11.63
10/02/2024 18:59;13.76
10/02/2024 17:59;10.63
10/02/2024 16:59;9.39
10/02/2024 15:59;8.03
10/02/2024 14:59;4.68
10/02/2024 13:59;7.89
10/02/2024 12:59;8.51
10/02/2024 11:59;10.04
10/02/2024 10:59;9.34
10/02/2024 9:59;12.75
10/02/2024 8:59;10.07
10/02/2024 7:59;11.56
10/02/2024 6:59;17.43
10/02/2024 5:59;15.58
10/02/2024 4:59;15.24
10/02/2024 3:59;12.01
10/02/2024 2:59;6.16
10/02/2024 1:59;6.97
10/02/2024 0:59;7.16
9/02/2024 23:59;6.8
9/02/2024 22:59;11.64
9/02/2024 21:59;8.97
9/02/2024 20:59;9.84
9/02/2024 19:59;12.62
9/02/2024 18:59;12.12
9/02/2024 17:59;11.61
9/02/2024 16:59;10.66
9/02/2024 15:59;9.69
9/02/2024 14:59;11.5
9/02/2024 13:59;6.37
9/02/2024 12:59;16.33
9/02/2024 11:59;15.61
9/02/2024 10:59;12.36
9/02/2024 9:59;11.49
9/02/2024 8:59;9.75
9/02/2024 7:59;11.11
